SLBR   -35.6440   -6.7815   210   29.60  1.30   Assumpcao etal.2012 statistics JSAmES2012 
_ID___longit__latityde_elev___H___unc___reference__Extra_BR_data_not_in_the_statistics
TAJA  -59.80  -2.00      90  38.  3.0   ave(TAJA+NEBL), Amazon (Kruger etal.,JGR2002)
JABU  -60.10  -2.925     50  40.  4.0   near Manaus, Amazon (Kruger etal.,JGR2002)
CVC3W -47.45  -13.80   1030  41.1 1.8   RF Cavalcante (Soares etal,JGR2006)
CVC3E -47.27  -13.80    904  37.9 1.4   RF Cavalcante (Soares etal,JGR2006)
SOB1  -40.8948 -9.2088  424  42.5 3.0   Monica_Costa(2005), TG-IAG
CRIB  -49.03  -10.58    300  35.  8.    G.Franca_C.Pavao_(UnB)

LEM1  -48.30    -09.85  330  39.9  2.0  Rosa_etal.2012 k=1.685+-0.02

BESB  -43.5586 -6.6569  245  35.6 1.4  IAG-CHESF k=1.76(0.05) 9 RFs  Table 2 (JSAmES2012)
BSFB__-40.8465_-18.8313_185__34.8_1.5__BRASIS_Prelim_k=1.75__18_RFs  Table 2 (JSAmES2012)
BSFB  -40.8465 -18.8313 185  34.4 1.0  BRASIS_Prelim k=1.74  16 RFs  Table 2 (JSAmES2012)
CNLB  -50.8527 -29.3143 700  41.0 2.3  BRASIS_prelim k=1.73  8 RFs updated  Table 2 (JSAmES2012)
CPSB  -53.4905 -30.5119 300  36.6 1.4  BRASIS_prelim k=1.78  8 RFs updated  Table 2 (JSAmES2012)
ESAR  -44.4404 -23.0207 100  29.6 1.2  Berrocal_Assoc/Eletronuclear k=1.85 35 FRs  Table 2 (JSAmES2012)
FRTB  -49.5640 -23.3439 518  41.1 5.0  BRASIS_prelim k=1.73  27 RFs  Table 2 (JSAmES2012)
IBTB  -50.2697 -23.8528 696  40.4 5.0  BRASIS_prelim k=1.74(0.09) 6 RFs  Table 2 (JSAmES2012)
MARB  -51.5036 -24.4521 507  39.6 1.0  BRASIS_prelim k=1.81  7 RFs updated  Table 2 (JSAmES2012)
PEXB  -48.3006 -12.1056 350  37.8 1.2  BRASIS_prelim k=1.76  28->30 RFs updated  Table 2 (JSAmES2012)
PLTB  -53.6456 -31.7546 200  36.4 1.4  BRASIS_prelim k=1.81  3->14 RFs updated  Table 2 (JSAmES2012)
ROIB  -51.1353 -24.2955 568  41.6 1.4  BRASIS_prelim k=1.72  5->11 RFs updated  Table 2 (JSAmES2012)
SICB  -45.8770 -23.6249 752  41.0 1.9  BRASIS_prelim k=1.76  4->19 RFs updated  Table 2 (JSAmES2012)
SP7   -49.46   -27.12   567  38.6 2.0  IPT_Fabio k=1.76+-0.04  31 RFs  Table 2 (JSAmES2012)
SJMB  -41.1847 -18.7029 243  38.2 2.0  BRASIS_prelim k=      Table 2 (JSAmES2012)
PMNB  -46.4380 -18.5373 950  41.0 3.0  BRASIS_prelim k=      Table 2 (JSAmES2012)
RIOB  -67.7470 -10.1501 150  26.2  5.0  GFZ_Hk_G=2 k=1.69+-.05  27 RFs dH->5km    Table 2 (JSAmES2012)

pre_pP_-74.06___-7.64___300___38.0__5.__pre_pP__PeruBrasil__2011_08_24_G.TAM
pre_pP1 -74.61  -6.97   360   38.4  5.  pre_pP PeruBrasil 2011_08_24 Az=352   (Nataly_Aranda-M_Assumpcao, SBGf2012)
pre_pP2 -73.75  -7.47   280   35.2  5.  pre_pP PeruBrasil 2011_08_24 Az=78   (Nataly_Aranda-M_Assumpcao, SBGf2012)
pre_pP3 -74.21  -7.29   260   35.5  5.  pre_pP PeruBrasil 2011_08_24 Az=41   (Nataly_Aranda-M_Assumpcao, SBGf2012)
pre_pP4 -74.75  -6.70   280   40.1  5.  pre_pP PeruBrasil 2011_08_26 Az=342   (Nataly_Aranda-M_Assumpcao, SBGf2012)
pre_pP5 -74.46  -7.72   250   37.5  8.  pre_pP PeruBrasil 2012_08_02 Az=341   (Nataly_Aranda-M_Assumpcao, SBGf2012)
pre_pP6 -73.87  -8.06   490   42.4  5.  pre_pP PeruBrasil 2012_08_02 Az=50   (Nataly_Aranda-M_Assumpcao, SBGf2012)

sta____longit.__latit._elev__H(km)__U___Referencia____dados______UFRN:_Hk_stack_Vp=6.5km/s
nban  -36.2746 -9.6686  260  37.5  0.7  Julia_etal2012 wf=12  k=1.69+-.03 Anadia-AL
nbcl  -38.2910 -4.2243   27  32.0  0.5  Julia_etal2012 wf=18  k=1.70+-.03 Cascavel-CE
nbcp  -39.1809 -12.5888 231  38.8  1.5  Julia_etal2012 wf=13  k=1.74+-.03 C.Paraguacu
nbit_________________________40.8__1.9__Julia_etal2012_wf=14__k=1.98+-.05_??
nbla  -37.7890 -10.9925 192  31.1  1.9  Julia_eta12012 wf=14  k=1.73+-.07 Lagarto
nbli  -36.9497 -07.3645 624  35.5  0.6  Julia-etal2012 wf=11  k=1.69+-.03 Livramento
nbma  -38.7641 -07.3654 437  37.7  1.2  Julia_etal2012 wf=15  k=1.77+-.04 Mauriti
nbmo  -40.0414 -03.3107  95  34.3  0.8  Julia_etal2012 wf=15  k=1.75+-.03 Morrinhos
nbpa  -37.1121 -05.7503  92  32.2  0.8  Julia_etal2012 wf=24  k=1.72+-.03 Parau
nbpb  -39.5837 -05.5432 263  37.1  0.9  Julia_etal2012 wf=14  k=1.72+-.02 PedraBranca
nbpn__-40.1988_-10.8468_386__37.9__3.33_Julia_etal2012_wf=10__k=1.78+-.99_Ponto_Novo
nbps  -41.4457 -04.3940 713  40.6  4.4  Julia_etal2012 wf=24  k=1.72+-.09 Pedro II
nbpv  -35.2905 -06.4178  91  33.6  0.3  Julia_etal2012 wf=17  k=1.69+-.01 Pedro Velho
nbrf  -35.1272 -08.6795  56  31.2  1.9  Julia_etal2012 wf=12  k=1.66+-.05 Rio Formoso
nbta  -38.0632 -09.1218 348  35.9  1.0  Julia_etal2012 wf=7   k=1.76+-.03 Tacaratu

___RSIS_National_Observatory_Stephane_Drouet_preliminary_unpublished,_H-k_stacks_Vp=6.4km/s
ALF01 -40.725213 -20.616865   22 37.2 4.1   Stephane_ON
CAM01 -41.657401 -21.825656   31 34.8 2.6   Stephane_ON
DUB01 -42.374182 -22.080966  623 35.4 0.7   Stephane_ON
JAC01 -48.102354 -24.811420  297 36.4 7.2   Stephane_ON
MAN01 -43.964094 -22.865160  617 32.4 1.9   Stephane_ON
PET01 -47.275344 -24.290108  150 39.6 6.0   Stephane_ON
RIB01 -40.394365 -19.314216  216 38.0 0.5   Stephane_ON
SLP01 -45.155900 -23.324300 1117 33.2 1.5   Stephane_ON
TIJ01 -49.004644 -25.323541 1049 39.8 0.8   Stephane_ON
VAS01 -43.442624 -22.280081  402 36.2 6.0   Stephane_ON

LA25	-52.51	4.57	100	37.5	5   Guyana_LINE_A___Greenroyd_etal._GJI_2007
LA23	-52.39	4.70	50	37.2	3   Guyana_LINE_A___Greenroyd_etal._GJI_2007  
LA21	-52.25	4.87	0	36.8	3   Guyana_LINE_A___Greenroyd_etal._GJI_2007
LAX1	-52.18	4.95	-30	36.5	2   Guyana_LINE_A___Greenroyd_etal._GJI_2007
LAX2	-52.04	5.11	-60	36.0	2   Guyana_LINE_A___Greenroyd_etal._GJI_2007
LAX3	-51.90	5.27	-100	35.0	2   Guyana_LINE_A___Greenroyd_etal._GJI_2007
LAX4	-51.68	5.53	-150	31.7	4   Guyana_LINE_A___Greenroyd_etal._GJI_2007
LAX5	-51.55	5.69	-260	27.0	4   Guyana_LINE_A___Greenroyd_etal._GJI_2007
OBS1	-51.44	5.81	-1500	16.5	4   Guyana_LINE_A___Greenroyd_etal._GJI_2007
OBS2	-51.39	5.87	-2050	14.3	3   Guyana_LINE_A___Greenroyd_etal._GJI_2007
OBS6	-51.17	6.13	-2950	14.0	2   Guyana_LINE_A___Greenroyd_etal._GJI_2007
OBS10	-50.95	6.39	-3600	13.5	2   Guyana_LINE_A___Greenroyd_etal._GJI_2007
OBS14	-50.73	6.64	-3950	13.2	2   Guyana_LINE_A___Greenroyd_etal._GJI_2007
OBS17	-50.57	6.83	-4175	12.7	2   Guyana_LINE_A___Greenroyd_etal._GJI_2007
OBS20	-50.40	7.02	-4250	12.5	3   Guyana_LINE_A___Greenroyd_etal._GJI_2007
LA-NE	-50.16	7.30	-4400	12.3	4   Guyana_LINE_A___Greenroyd_etal._GJI_2007

LD24	-54.09	5.42	100	37.0	8  Demerara__LINE_D___Greenroyd_etal._GJI_2008
LD21	-53.94	5.74	0	36.0	8  Demerara__LINE_D___Greenroyd_etal._GJI_2008
LDX1	-53.72	6.24	-35	32.0	8  Demerara__LINE_D___Greenroyd_etal._GJI_2008
LDX2	-53.53	6.65	-65	29.0	8  Demerara__LINE_D___Greenroyd_etal._GJI_2008
LDX3	-53.34	7.06	-150	27.0	8  Demerara__LINE_D___Greenroyd_etal._GJI_2008
OBS1	-53.05	7.70	-1000	25.0	8  Demerara__LINE_D___Greenroyd_etal._GJI_2008
OBS5	-52.90	8.03	-1500	24.2	6  Demerara__LINE_D___Greenroyd_etal._GJI_2008
OBS9	-52.75	8.35	-3000	22.1	4  Demerara__LINE_D___Greenroyd_etal._GJI_2008
OBS12	-52.64	8.60	-4700	14.3	2  Demerara__LINE_D___Greenroyd_etal._GJI_2008
OBS16	-52.49	8.93	-4650	12.2	2  Demerara__LINE_D___Greenroyd_etal._GJI_2008
OBS20	-52.34	9.26	-4700	11.8	2  Demerara__LINE_D___Greenroyd_etal._GJI_2008
